#, Number of vertexes, Number of Edges, Elapsed Time
1, 20, 0.3, 00:00:00.0310390
2, 20, 0.3, 00:00:00.0320162
3, 20, 0.3, 00:00:00.0341820
4, 20, 0.3, 00:00:00.0367000
5, 20, 0.3, 00:00:00.0427854
6, 20, 0.3, 00:00:00.0494302
7, 20, 0.3, 00:00:00.0596991
8, 20, 0.3, 00:00:00.0733214
9, 20, 0.3, 00:00:00.0881103
10, 20, 0.3, 00:00:00.1137304
1, 20, 0.4, 00:00:00.1413561
2, 20, 0.4, 00:00:00.1718948
3, 20, 0.4, 00:00:00.2050030
4, 20, 0.4, 00:00:00.2586995
5, 20, 0.4, 00:00:00.3094502
6, 20, 0.4, 00:00:00.3391447
7, 20, 0.4, 00:00:00.4061496
8, 20, 0.4, 00:00:00.4833152
9, 20, 0.4, 00:00:00.5405781
10, 20, 0.4, 00:00:00.5896333
1, 20, 0.5, 00:00:00.6934975
2, 20, 0.5, 00:00:00.7942384
3, 20, 0.5, 00:00:00.9418190
4, 20, 0.5, 00:00:01.0835697
5, 20, 0.5, 00:00:01.2110700
6, 20, 0.5, 00:00:01.3193772
7, 20, 0.5, 00:00:01.4747036
8, 20, 0.5, 00:00:01.6747884
9, 20, 0.5, 00:00:01.8654629
10, 20, 0.5, 00:00:02.0572889
1, 20, 0.6, 00:00:02.2790291
2, 20, 0.6, 00:00:02.5715148
3, 20, 0.6, 00:00:02.9145554
4, 20, 0.6, 00:00:03.2464981
5, 20, 0.6, 00:00:03.6127823
6, 20, 0.6, 00:00:04.0077572
7, 20, 0.6, 00:00:04.4323118
8, 20, 0.6, 00:00:04.9357618
9, 20, 0.6, 00:00:05.4226125
10, 20, 0.6, 00:00:06.0061831
1, 20, 0.7, 00:00:06.6122334
2, 20, 0.7, 00:00:07.2083826
3, 20, 0.7, 00:00:07.8514520
4, 20, 0.7, 00:00:08.5857694
5, 20, 0.7, 00:00:09.3173636
6, 20, 0.7, 00:00:10.2090074
7, 20, 0.7, 00:00:11.1389368
8, 20, 0.7, 00:00:12.0697660
9, 20, 0.7, 00:00:12.9517969
10, 20, 0.7, 00:00:13.9970142
1, 20, 0.8, 00:00:14.9798619
2, 20, 0.8, 00:00:16.1155970
3, 20, 0.8, 00:00:17.4649630
4, 20, 0.8, 00:00:18.6744800
5, 20, 0.8, 00:00:19.8749463
6, 20, 0.8, 00:00:21.2943185
7, 20, 0.8, 00:00:22.8313614
8, 20, 0.8, 00:00:24.2865658
9, 20, 0.8, 00:00:25.9354808
10, 20, 0.8, 00:00:27.7507026
1, 20, 0.9, 00:00:29.6932493
2, 20, 0.9, 00:00:31.5656350
3, 20, 0.9, 00:00:33.4766878
4, 20, 0.9, 00:00:35.4232409
5, 20, 0.9, 00:00:37.4295154
6, 20, 0.9, 00:00:39.7135919
7, 20, 0.9, 00:00:42.0478859
8, 20, 0.9, 00:00:44.6642934
9, 20, 0.9, 00:00:47.0291154
10, 20, 0.9, 00:00:49.6572383
1, 20, 1, 00:00:52.3671062
2, 20, 1, 00:00:55.3590522
3, 20, 1, 00:00:58.1958854
4, 20, 1, 00:01:01.6116179
5, 20, 1, 00:01:04.7443383
6, 20, 1, 00:01:08.3944285
7, 20, 1, 00:01:12.1220453
8, 20, 1, 00:01:15.9805173
9, 20, 1, 00:01:20.0715052
10, 20, 1, 00:01:24.3125748
1, 20, 1.1, 00:01:28.6172507
2, 20, 1.1, 00:01:33.2619954
3, 20, 1.1, 00:01:37.8802145
4, 20, 1.1, 00:01:42.7686391
5, 20, 1.1, 00:01:47.8882705
6, 20, 1.1, 00:01:52.9385324
7, 20, 1.1, 00:01:58.5870275
8, 20, 1.1, 00:02:04.6793406
