#, Number of vertexes, Number of Edges, Elapsed Time
1, 20, 0.3, 00:00:00.0040080
2, 20, 0.3, 00:00:00.0043124
3, 20, 0.3, 00:00:00.0045830
4, 20, 0.3, 00:00:00.0049069
5, 20, 0.3, 00:00:00.0052574
6, 20, 0.3, 00:00:00.0055139
7, 20, 0.3, 00:00:00.0059098
8, 20, 0.3, 00:00:00.0062908
9, 20, 0.3, 00:00:00.0065925
10, 20, 0.3, 00:00:00.0070925
1, 20, 0.4, 00:00:00.0076930
2, 20, 0.4, 00:00:00.0084588
3, 20, 0.4, 00:00:00.0088997
4, 20, 0.4, 00:00:00.0095562
5, 20, 0.4, 00:00:00.0098379
6, 20, 0.4, 00:00:00.0100479
7, 20, 0.4, 00:00:00.0105604
8, 20, 0.4, 00:00:00.0108936
9, 20, 0.4, 00:00:00.0112619
10, 20, 0.4, 00:00:00.0116290
1, 20, 0.5, 00:00:00.0119282
2, 20, 0.5, 00:00:00.0123315
3, 20, 0.5, 00:00:00.0127848
4, 20, 0.5, 00:00:00.0130226
5, 20, 0.5, 00:00:00.0132409
6, 20, 0.5, 00:00:00.0135671
7, 20, 0.5, 00:00:00.0140153
8, 20, 0.5, 00:00:00.0143838
9, 20, 0.5, 00:00:00.0148824
10, 20, 0.5, 00:00:00.0153576
1, 20, 0.6, 00:00:00.0158192
2, 20, 0.6, 00:00:00.0163255
3, 20, 0.6, 00:00:00.0168057
4, 20, 0.6, 00:00:00.0171805
5, 20, 0.6, 00:00:00.0175479
6, 20, 0.6, 00:00:00.0183812
7, 20, 0.6, 00:00:00.0188991
8, 20, 0.6, 00:00:00.0192919
9, 20, 0.6, 00:00:00.0196507
10, 20, 0.6, 00:00:00.0199740
1, 20, 0.7, 00:00:00.0204938
2, 20, 0.7, 00:00:00.0209613
3, 20, 0.7, 00:00:00.0213437
4, 20, 0.7, 00:00:00.0218488
5, 20, 0.7, 00:00:00.0223544
6, 20, 0.7, 00:00:00.0226940
7, 20, 0.7, 00:00:00.0231867
8, 20, 0.7, 00:00:00.0234822
9, 20, 0.7, 00:00:00.0239667
10, 20, 0.7, 00:00:00.0244072
1, 20, 0.8, 00:00:00.0249061
2, 20, 0.8, 00:00:00.0252823
3, 20, 0.8, 00:00:00.0255519
4, 20, 0.8, 00:00:00.0259676
5, 20, 0.8, 00:00:00.0263297
6, 20, 0.8, 00:00:00.0264865
7, 20, 0.8, 00:00:00.0268120
8, 20, 0.8, 00:00:00.0269770
9, 20, 0.8, 00:00:00.0276209
10, 20, 0.8, 00:00:00.0280583
1, 20, 0.9, 00:00:00.0284683
2, 20, 0.9, 00:00:00.0286765
3, 20, 0.9, 00:00:00.0290055
4, 20, 0.9, 00:00:00.0292366
5, 20, 0.9, 00:00:00.0295144
6, 20, 0.9, 00:00:00.0299177
7, 20, 0.9, 00:00:00.0304147
8, 20, 0.9, 00:00:00.0309547
9, 20, 0.9, 00:00:00.0313512
10, 20, 0.9, 00:00:00.0319402
1, 20, 1, 00:00:00.0325062
2, 20, 1, 00:00:00.0331851
3, 20, 1, 00:00:00.0335118
4, 20, 1, 00:00:00.0338086
5, 20, 1, 00:00:00.0340447
6, 20, 1, 00:00:00.0344209
7, 20, 1, 00:00:00.0346264
8, 20, 1, 00:00:00.0349743
9, 20, 1, 00:00:00.0353774
10, 20, 1, 00:00:00.0358054
1, 20, 1.1, 00:00:00.0363226
2, 20, 1.1, 00:00:00.0367902
3, 20, 1.1, 00:00:00.0372119
4, 20, 1.1, 00:00:00.0376964
5, 20, 1.1, 00:00:00.0382177
6, 20, 1.1, 00:00:00.0386726
7, 20, 1.1, 00:00:00.0389641
8, 20, 1.1, 00:00:00.0391647
9, 20, 1.1, 00:00:00.0394889
10, 20, 1.1, 00:00:00.0400142
1, 20, 1.2, 00:00:00.0404495
2, 20, 1.2, 00:00:00.0409438
3, 20, 1.2, 00:00:00.0412700
4, 20, 1.2, 00:00:00.0417110
5, 20, 1.2, 00:00:00.0420598
6, 20, 1.2, 00:00:00.0425820
7, 20, 1.2, 00:00:00.0427520
8, 20, 1.2, 00:00:00.0431258
9, 20, 1.2, 00:00:00.0434931
10, 20, 1.2, 00:00:00.0436991
1, 40, 0.3, 00:00:00.0444127
2, 40, 0.3, 00:00:00.0447574
3, 40, 0.3, 00:00:00.0449624
4, 40, 0.3, 00:00:00.0458080
5, 40, 0.3, 00:00:00.0462367
6, 40, 0.3, 00:00:00.0466031
7, 40, 0.3, 00:00:00.0467873
8, 40, 0.3, 00:00:00.0471176
9, 40, 0.3, 00:00:00.0474013
10, 40, 0.3, 00:00:00.0475260
1, 40, 0.4, 00:00:00.0478247
2, 40, 0.4, 00:00:00.0482530
3, 40, 0.4, 00:00:00.0485796
4, 40, 0.4, 00:00:00.0490753
5, 40, 0.4, 00:00:00.0497534
6, 40, 0.4, 00:00:00.0504255
7, 40, 0.4, 00:00:00.0508267
8, 40, 0.4, 00:00:00.0511383
9, 40, 0.4, 00:00:00.0513209
10, 40, 0.4, 00:00:00.0515333
1, 40, 0.5, 00:00:00.0518299
2, 40, 0.5, 00:00:00.0521627
3, 40, 0.5, 00:00:00.0523565
4, 40, 0.5, 00:00:00.0525783
5, 40, 0.5, 00:00:00.0529287
6, 40, 0.5, 00:00:00.0531800
7, 40, 0.5, 00:00:00.0533824
8, 40, 0.5, 00:00:00.0537712
9, 40, 0.5, 00:00:00.0539998
10, 40, 0.5, 00:00:00.0542327
1, 40, 0.6, 00:00:00.0545378
2, 40, 0.6, 00:00:00.0548474
3, 40, 0.6, 00:00:00.0552044
4, 40, 0.6, 00:00:00.0554367
5, 40, 0.6, 00:00:00.0556928
6, 40, 0.6, 00:00:00.0560143
7, 40, 0.6, 00:00:00.0563382
8, 40, 0.6, 00:00:00.0567020
9, 40, 0.6, 00:00:00.0570462
10, 40, 0.6, 00:00:00.0572579
1, 40, 0.7, 00:00:00.0575432
2, 40, 0.7, 00:00:00.0578166
3, 40, 0.7, 00:00:00.0581204
4, 40, 0.7, 00:00:00.0583455
5, 40, 0.7, 00:00:00.0586842
6, 40, 0.7, 00:00:00.0588935
7, 40, 0.7, 00:00:00.0593403
8, 40, 0.7, 00:00:00.0596344
